"register","index","code","desc","spec_type","length","spec_required","type","required","conditional_required","decimal","spec_in","spec_out","conditional_out_required","conditional_in_required"
"0100","14","COD_MUN","Código do município, conforme tabela IBGE.","N","007*","O","int","True","","","","","",""
"0150","2","COD_PART","Código de identificação do participante no arquivo.","C","060","O","char","True","","","","","",""
"0150","3","NOME","Nome pessoal ou empresarial do participante.","C","100","O","char","True","","","","","",""
"0150","4","COD_PAIS","Código do país do participante, conforme a tabela indicada no item 3.2.1","N","005","O","int","True","","","","","",""
"0150","5","CNPJ","CNPJ do participante.","N","014*","OC","int","","True","","","","",""
"0150","6","CPF","CPF do participante.","N","011*","OC","int","","True","","","","",""
"0150","7","IE","Inscrição Estadual do participante.","C","014","OC","char","","True","","","","",""
"0150","8","COD_MUN","Código do município, conforme a tabela IBGE","N","007*","OC","int","","True","","","","",""
"0150","9","SUFRAMA","Número de inscrição do participante na SUFRAMA.","C","009*","OC","char","","True","","","","",""
"0150","10","END","Logradouro e endereço do imóvel","C","060","O","char","True","","","","","",""
"0150","11","NUM","Número do imóvel","C","010","OC","char","","True","","","","",""
"0150","12","COMPL","Dados complementares do endereço","C","060","OC","char","","True","","","","",""
"0150","13","BAIRRO","Bairro em que o imóvel está situado","C","060","OC","char","","True","","","","",""
"0175","2","DT_ALT","Data de alteração do cadastro","N","008*","O","date","True","","","","","",""
"0175","3","NR_CAMPO","Número do campo alterado (campos 03 a 13, exceto 07)","C","002","O","char","True","","","","","",""
"0175","4","CONT_ANT","Conteúdo anterior do campo","C","100","O","char","True","","","","","",""
"0190","2","UNID","Código da unidade de medida","C","006","O","char","True","","","","","",""
"0190","3","DESCR","Descrição da unidade de medida","C","","O","char","True","","","","","",""
"0200","2","COD_ITEM","Código do item","C","060","O","char","True","","","","","",""
"0200","3","DESCR_ITEM","Descrição do item","C","","O","char","True","","","","","",""
"0200","4","COD_BARRA","Representação alfanumérico do código de barra do produto, se houver","C","","OC","char","","True","","","","",""
"0206","2","COD_COMB","Código do produto, conforme tabela publicada pela ANP","C","","O","char","True","","","","","",""
"0210","2","COD_ITEM_COMP","Código do item componente/insumo (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"0210","3","QTD_COMP","Quantidade do item componente/insumo para se produzir uma unidade do item composto/resultante","N","","O","float","True","","6","","","",""
"0210","4","PERDA","Perda/quebra normal percentual do insumo/componente para se produzir uma unidade do item composto/resultante","N","","O","float","True","","4","","","",""
"0220","2","UNID_CONV","Unidade comercial a ser convertida na unidade de estoque, referida no registro 0200.","C","006","O","char","True","","","","","",""
"0220","3","FAT_CONV","Fator de conversão: fator utilizado para converter (multiplicar) a unidade a ser convertida na unidade adotada no inventário.","N","","O","float","True","","6","","","",""
"0300","2","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","O","char","True","","","","","",""
"0300","3","IDENT_MERC","Identificação do tipo de mercadoria: 1 = bem; 2 = componente.","C","001*","O","char","True","","","","","",""
"0300","4","DESCR_ITEM","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)","C","","O","char","True","","","","","",""
"0300","5","COD_PRNC","Código de cadastro do bem principal nos casos em que o bem ou componente ( campo 02) esteja vinculado a um bem principal.","C","060","OC","char","","True","","","","",""
"0300","6","COD_CTA","Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)","C","060","O","char","True","","","","","",""
"0300","7","NR_PARC","Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada","N","003","OC","int","","True","","","","",""
"0305","2","COD_CCUS","Código do centro de custo onde o bem está sendo ou será utilizado (campo 03 do Registro 0600)","C","060","O","char","True","","","","","",""
"0305","3","FUNC","Descrição sucinta da função do bem na atividade do estabelecimento","C","","O","char","True","","","","","",""
"0305","4","VIDA_UTIL","Vida útil estimada do bem, em número de meses","N","003","OC","int","","True","","","","",""
"0400","2","COD_NAT","Código da natureza da operação/prestação","C","010","O","char","True","","","","","",""
"0400","3","DESCR_NAT","Descrição da natureza da operação/prestação","C","","O","char","True","","","","","",""
"0450","2","COD_INF","Código da informação complementar do documento fiscal.","C","006","O","char","True","","","","","",""
"0450","3","TXT","Texto livre da informação complementar existente no documento fiscal, inclusive espécie de normas legais, poder normativo, número, capitulação, data e demais referências pertinentes com indicações referentes ao tributo.","C","","O","char","True","","","","","",""
"0460","2","COD_OBS","Código da Observação do lançamento fiscal.","C","006","O","char","True","","","","","",""
"0460","3","TXT","Descrição da observação vinculada ao lançamento fiscal","C","","O","char","True","","","","","",""
"0500","2","DT_ALT","Data da inclusão/alteração","N","008*","O","date","True","","","","","",""
"0500","3","COD_NAT_CC","Código da natureza da conta/grupo de contas: 01 - Contas de ativo; 02 - Contas de passivo; 03 - Patrimônio líquido; 04 - Contas de resultado; 05 - Contas de compensação; 09 - Outras.","C","002*","O","char","True","","","","","",""
"0500","4","IND_CTA","Indicador do tipo de conta: S - Sintética (grupo de contas); A - Analítica (conta).","C","001*","O","char","True","","","","","",""
"0500","5","NÍVEL","Nível da conta analítica/grupo de contas.","N","005","O","int","True","","","","","",""
"0500","6","COD_CTA","Código da conta analítica/grupo de contas.","C","60","O","char","True","","","","","",""
"0500","7","NOME_CTA","Nome da conta analítica/grupo de contas.","C","60","O","char","True","","","","","",""
"0600","2","DT_ALT","Data da inclusão/alteração.","N","008*","O","date","True","","","","","",""
"0600","3","COD_CCUS","Código do centro de custos.","C","060","O","char","True","","","","","",""
"0600","4","CCUS","Nome do centro de custos.","C","060","O","char","True","","","","","",""
"0990","2","QTD_LIN_0","Quantidade total de linhas do Bloco 0","N","","O","int","True","","","","","",""
"B001","2","IND_DAD","Indicador de movimento: 0 - Bloco com dados informados 1 - Bloco sem dados informados","C","001*","O","char","True","","","","","",""
"B020","2","IND_OPER","Indicador do tipo de operação: 0 - Aquisição; 1 - Prestação","C","001*","","char","","","","O","O","",""
"B020","3","IND_EMIT","Indicador do emitente do documento fiscal: 0 - Emissão própria;","C","001*","","char","","","","O","O","",""
"B020","4","COD_PART","Código do participante (campo 02 do Registro 0150): - do prestador, no caso de declarante na condição de tomador; - do tomador, no caso de declarante na condição de prestador","C","060","","char","","","","O","OC","True",""
"B020","5","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.3","C","002*","","char","","","","O","O","",""
"B020","6","COD_SIT","Código da situação do documento conforme tabela 4.1.2","N","002*","","int","","","","O","O","",""
"B020","7","SER","Série do documento fiscal","C","003","","char","","","","OC","OC","True","True"
"B020","8","NUM_DOC","Número do documento fiscal","N","009","","int","","","","O","O","",""
"B020","9","CHV_NFE","Chave da Nota Fiscal Eletrônica","N","044*","","int","","","","OC","OC","True","True"
"B020","10","DT_DOC","Data da emissão do documento fiscal","N","008*","","date","","","","","O","",""
"B020","11","COD_MUN_SERV","Código do município onde o serviço foi prestado, conforme a tabela IBGE.","C","007*","","char","","","","O","O","",""
"B020","12","VL_CONT","Valor contábil (valor total do documento)","N","","","float","","","02","O","O","",""
"B020","13","VL_MAT_TERC","Valor do material fornecido por terceiros na prestação do serviço","N","","","float","","","02","O","O","",""
"B020","14","VL_SUB","Valor da subempreitada","N","","","float","","","02","O","O","",""
"B020","15","VL_ISNT_ISS","Valor das operações isentas ou não- tributadas pelo ISS","N","","","float","","","02","O","O","",""
"B020","16","VL_DED_BC","Valor da dedução da base de cálculo","N","","","float","","","02","O","O","",""
"B020","17","VL_BC_ISS","Valor da base de cálculo do ISS","N","","","float","","","02","O","O","",""
"B020","18","VL_BC_ISS_RT","Valor da base de cálculo de retenção do ISS","N","","","float","","","02","O","O","",""
"B020","19","VL_ISS_RT","Valor do ISS retido pelo tomador","N","","","float","","","02","O","O","",""
"B020","20","VL_ISS","Valor do ISS destacado","N","","","float","","","02","O","O","",""
"B020","21","COD_INF_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","060","","char","","","","OC","OC","True","True"
"B025","2","VL_CONT_P","Parcela correspondente ao “Valor Contábil” referente à combinação da alíquota e item da lista","N","","","float","","","02","O","O","",""
"B025","3","VL_BC_ISS_P","Parcela correspondente ao “Valor da base de cálculo do ISS” referente à combinação da alíquota e item da lista","N","","","float","","","02","O","O","",""
"B025","4","ALIQ_ISS","Alíquota do ISS","N","","","float","","","02","O","O","",""
"B025","5","VL_ISS_P","Parcela correspondente ao “Valor do ISS” referente à combinação da alíquota e item da lista","N","","","float","","","02","O","O","",""
"B025","6","VL_ISNT_ISS_P","Parcela correspondente ao “Valor das operações isentas ou não- tributadas pelo ISS” referente à combinação da alíquota e item da lista","N","","","float","","","02","O","O","",""
"B025","7","COD_SERV","Item da lista de serviços, conforme Tabela 4.6.3","C","004*","","char","","","","O","O","",""
"B030","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.3","C","002*","","char","","","","informar","O","",""
"B030","3","SER","Série do documento fiscal","C","003","","char","","","","","OC","True",""
"B030","4","NUM_DOC_INI","Número do primeiro documento fiscal emitido no dia","N","009","","int","","","","","O","",""
"B030","5","NUM_DOC_FIN","Número do último documento fiscal emitido no dia","N","009","","int","","","","","O","",""
"B030","6","DT_DOC","Data da emissão dos documentos fiscais","N","008*","","date","","","","","O","",""
"B030","7","QTD_CANC","Quantidade de documentos cancelados","N","","","int","","","","","O","",""
"B030","8","VL_CONT","Valor contábil (valor total acumulado dos documentos)","N","","","float","","","02","","O","",""
"B030","9","VL_ISNT_ISS","Valor acumulado das operações isentas ou não-tributadas pelo ISS","N","","","float","","","02","","O","",""
"B030","10","VL_BC_ISS","Valor acumulado da base de cálculo do ISS","N","","","float","","","02","","O","",""
"B030","11","VL_ISS","Valor acumulado do ISS destacado","N","","","float","","","02","","O","",""
"B030","12","COD_INF_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","060","","char","","","","","OC","True",""
"B350","2","COD_CTD","Código da conta do plano de contas","C","","","char","","","","","O","",""
"B350","3","CTA_ISS","Descrição da conta no plano de contas","C","","","char","","","","","O","",""
"B350","4","CTA_COSIF","Código COSIF a que está subordinada a conta do ISS das instituições financeiras","N","008*","","int","","","","","O","",""
"B350","5","QTD_OCOR","Quantidade de ocorrências na conta","N","","","int","","","","","O","",""
"B350","6","COD_SERV","Item da lista de serviços, conforme Tabela 4.6.3.","N","004*","","int","","","","","O","",""
"B350","7","VL_CONT","Valor contábil","N","","","float","","","02","","O","",""
"B350","8","VL_BC_ISS","Valor da base de cálculo do ISS","N","","","float","","","02","","O","",""
"B350","9","ALIQ_ISS","Alíquota do ISS","N","","","float","","","02","","O","",""
"B350","10","VL_ISS","Valor do ISS","N","","","float","","","02","","O","",""
"B350","11","COD_INF_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","060","","char","","","","","OC","True",""
"B420","2","VL_CONT","Totalização do Valor Contábil das prestações do declarante referente à combinação da alíquota e item da lista","N","","","float","","","02","","O","",""
"B420","3","VL_BC_ISS","Totalização do Valor da base de cálculo do ISS das prestações do declarante referente à combinação da alíquota e item da lista","N","","","float","","","02","","O","",""
"B420","4","ALIQ_ISS","Alíquota do ISS","N","","","float","","","02","","O","",""
"B420","5","VL_ISNT_ISS","Totalização do valor das operações isentas ou não- tributadas pelo ISS referente à combinação da alíquota e item da lista","N","","","float","","","02","","O","",""
"B420","6","VL_ISS","Totalização, por combinação da alíquota e item da lista, do Valor do ISS","N","","","float","","","02","","O","",""
"B420","7","COD_SERV","Item da lista de serviços, conforme Tabela 4.6.3.","C","","","char","","","","","O","",""
"B440","2","IND_OPER","Indicador do tipo de operação: 0 - Aquisição; 1 - Prestação","N","","","float","","","02","O","O","",""
"B440","3","COD_PART","Código do participante (campo 02 do Registro 0150): - do prestador, no caso de aquisição de serviço pelo declarante; - do tomador, no caso de prestação de serviço pelo declarante","C","","","char","","","","O","O","",""
"B440","4","VL_CONT_RT","Totalização do Valor Contábil das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante.","N","","","float","","","02","O","O","",""
"B440","5","VL_BC_ISS_RT","Totalização do Valor da base de cálculo de retenção do ISS das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante.","N","","","float","","","02","O","O","",""
"B440","6","VL_ISS_RT","Totalização do Valor do ISS retido pelo tomador das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante.","N","","","float","","","02","O","O","",""
"B460","2","IND_DED","Indicador do tipo de dedução: 0 - Compensação do ISS calculado a maior; 1 - Benefício fiscal por incentivo à cultura; 2 - Decisão administrativa ou judicial; 9 - Outros","C","001*","","char","","","","O","O","",""
"B460","3","VL_DED","Valor da dedução","N","","","float","","","02","O","O","",""
"B460","4","NUM_PROC","Número do processo ao qual o ajuste está vinculado, se houver","C","","","char","","","","OC","OC","True","True"
"B460","5","IND_PROC","Indicador da origem do processo: 0 - Sefin; 1 - Justiça Federal; 2 - Justiça Estadual; 9 - Outros","C","001*","","char","","","","OC","OC","True","True"
"B460","6","PROC","Descrição do processo que embasou o lançamento","C","","","char","","","","OC","OC","True","True"
"B460","7","COD_INF_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","060","","char","","","","O","O","",""
"B460","8","IND_OBR","Indicador da obrigação onde será aplicada a dedução: 0 - ISS Próprio; 1 - ISS Substituto (devido pelas aquisições de serviços do declarante). 2 - ISS Uniprofissionais.","C","001*","","char","","","","O","O","",""
"B470","2","VL_CONT","A - Valor total referente às prestações de serviço do período","N","","O","float","True","","02","","","",""
"B470","3","VL_MAT_TERC","B - Valor total do material fornecido por terceiros na prestação do serviço","N","","O","float","True","","02","","","",""
"B470","4","VL_MAT_PROP","C - Valor do material próprio utilizado na prestação do serviço","N","","O","float","True","","02","","","",""
"B470","5","VL_SUB","D - Valor total das subempreitadas","N","","O","float","True","","02","","","",""
"B470","6","VL_ISNT","E - Valor total das operações isentas ou não-tributadas pelo ISS","N","","O","float","True","","02","","","",""
"B470","7","VL_DED_BC","F - Valor total das deduções da base de cálculo (B + C + D + E)","N","","O","float","True","","02","","","",""
"B470","8","VL_BC_ISS","G - Valor total da base de cálculo do ISS","N","","O","float","True","","02","","","",""
"B470","9","VL_BC_ISS_RT","H - Valor total da base de cálculo de retenção do ISS referente às prestações do declarante.","N","","O","float","True","","02","","","",""
"B470","10","VL_ISS","I - Valor total do ISS destacado","N","","O","float","True","","02","","","",""
"B470","11","VL_ISS_RT","J - Valor total do ISS retido pelo tomador nas prestações do declarante","N","","O","float","True","","02","","","",""
"B470","12","VL_DED","K - Valor total das deduções do ISS próprio","N","","O","float","True","","02","","","",""
"B470","13","VL_ISS_REC","L - Valor total apurado do ISS próprio a recolher (I - J - K)","N","","O","float","True","","02","","","",""
"B470","14","VL_ISS_ST","M - Valor total do ISS substituto a recolher pelas aquisições do declarante (tomador)","N","","O","float","True","","02","","","",""
"B470","15","VL_ISS_REC_UNI","N - Valor do ISS próprio a recolher pela Sociedade Uniprofissional","N","","O","float","True","","02","","","",""
"B500","2","VL_REC","Valor mensal das receitas auferidas pela sociedade uniprofissional","N","","O","float","True","","02","","","",""
"B500","3","QTD_PROF","Quantidade de profissionais habilitados","N","","O","int","True","","","","","",""
"B500","4","VL_OR","Valor do ISS devido","N","","O","float","True","","02","","","",""
"B510","2","IND_PROF","Indicador de habilitação: 0- Profissional habilitado 1- Profissional não habilitado","C","001*","O","char","True","","","","","",""
"B510","3","IND_ESC","Indicador de escolaridade: 0- Nível superior 1- Nível médio","C","001*","O","char","True","","","","","",""
"B510","4","IND_SOC","Indicador de participação societária: 0 - Sócio 1 - Não sócio","C","001*","O","char","True","","","","","",""
"B510","5","CPF","Número de inscrição do profissional no CPF.","N","011*","O","int","True","","","","","",""
"B510","6","NOME","Nome do profissional","C","100","O","char","True","","","","","",""
"B990","2","QTD_LIN_B","Quantidade total de linhas do Bloco B","N","","O","int","True","","","O","O","",""
"C001","2","IND_MOV","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados","C","001","O","char","True","","","","","",""
"C100","2","IND_OPER","Indicador do tipo de operação: 0 - Entrada; 1 - Saída","C","001*","","char","","","","O","O","",""
"C100","3","IND_EMIT","Indicador do emitente do documento fiscal: 0 - Emissão própria; 1 - Terceiros","C","001*","","char","","","","O","O","",""
"C100","4","COD_PART","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas","C","060","","char","","","","O","O","",""
"C100","5","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","char","","","","O","O","",""
"C100","6","COD_SIT","Código da situação do documento fiscal, conforme a Tabela 4.1.2","N","002*","","int","","","","O","O","",""
"C100","7","SER","Série do documento fiscal","C","003","","char","","","","OC","OC","True","True"
"C100","8","NUM_DOC","Número do documento fiscal","N","009","","int","","","","O","O","",""
"C100","9","CHV_NFE","Chave da Nota Fiscal Eletrônica","N","044*","","int","","","","OC","OC","True","True"
"C100","10","DT_DOC","Data da emissão do documento fiscal","N","008*","","date","","","","O","O","",""
"C100","11","DT_E_S","Data da entrada ou da saída","N","008*","","date","","","","O","OC","True",""
"C100","12","VL_DOC","Valor total do documento fiscal","N","","","float","","","02","O","O","",""
"C100","13","IND_PGTO","Indicador do tipo de pagamento: 0 - À vista; 1 - A prazo; 9 - Sem pagamento.","C","001*","","char","","","","O","O","",""
"C100","14","VL_DESC","Valor total do desconto","N","","","float","","","02","OC","OC","True","True"
"C100","15","VL_ABAT_NT","Abatimento não tributado e não comercial Ex. desconto ICMS nas remessas para ZFM.","N","","","float","","","02","OC","OC","True","True"
"C100","16","VL_MERC","Valor total das mercadorias e serviços","N","","","float","","","02","O","OC","True",""
"C100","17","IND_FRT","Indicador do tipo do frete: 0 - Por conta de terceiros; 1 - Por conta do emitente; 2 - Por conta do destinatário; 9 - Sem cobrança de frete.","C","001*","","char","","","","O","O","",""
"C100","18","VL_FRT","Valor do frete indicado no documento fiscal","N","","","float","","","02","OC","OC","True","True"
"C100","19","VL_SEG","Valor do seguro indicado no documento fiscal","N","","","float","","","02","OC","OC","True","True"
"C100","20","VL_OUT_DA","Valor de outras despesas acessórias","N","","","float","","","02","OC","OC","True","True"
"C100","21","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","","float","","","02","OC","OC","True","True"
"C100","22","VL_ICMS","Valor do ICMS","N","","","float","","","02","OC","OC","True","True"
"C100","23","VL_BC_ICMS_ST","Valor da base de cálculo do ICMS substituição tributária","N","","","float","","","02","OC","OC","True","True"
"C100","24","VL_ICMS_ST","Valor do ICMS retido por substituição tributária","N","","","float","","","02","OC","OC","True","True"
"C100","25","VL_IPI","Valor total do IPI","N","","","float","","","02","OC","OC","True","True"
"C100","26","VL_PIS","Valor total do PIS","N","","","float","","","02","OC","OC","True","True"
"C100","27","VL_COFINS","Valor total da COFINS","N","","","float","","","02","OC","OC","True","True"
"C100","28","VL_PIS_ST","Valor total do PIS retido por substituição tributária","N","","","float","","","02","OC","OC","True","True"
"C100","29","VL_COFINS_ST","Valor total da COFINS retido por substituição tributária","N","","","float","","","02","OC","OC","True","True"
"C101","2","VL_FCP_UF_DEST","Valor total relativo ao Fundo de Combate à Pobreza (FCP) da UF de destino","N","","","float","","","02","O","O","",""
"C101","3","VL_ICMS_UF_DEST","Valor total do ICMS Interestadual para a UF de destino","N","","","float","","","02","O","O","",""
"C101","4","VL_ICMS_UF_REM","Valor total do ICMS Interestadual para a UF do remetente","N","","","float","","","02","O","O","",""
"C105","2","OPER","Indicador do tipo de operação: 0- Combustíveis e Lubrificantes; 1- Leasing de veículos ou faturamento direto.","N","001*","","int","","","","O","O","",""
"C105","3","UF","Sigla da UF de destino do ICMS_ST","C","002*","","char","","","","O","O","",""
"C110","2","COD_INF","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)","C","006","","char","","","","O","O","",""
"C110","3","TXT_COMPL","Descrição complementar do código de referência.","C","","","char","","","","OC","OC","True","True"
"C111","2","NUM_PROC","Identificação do processo ou ato concessório.","C","015","","char","","","","O","O","",""
"C111","3","IND_PROC","Indicador da origem do processo: 0 - SEFAZ; 1 - Justiça Federal; 2 - Justiça Estadual; 3 - SECEX/SRF 9 - Outros.","C","001*","","char","","","","O","O","",""
"C112","2","COD_DA","Código do modelo do documento de arrecadação : 0 – Documento estadual de arrecadação 1 – GNRE","C","001*","","char","","","","O","O","",""
"C112","3","UF","Unidade federada beneficiária do recolhimento","C","002*","","char","","","","O","O","",""
"C112","4","NUM_DA","Número do documento de arrecadação","C","","","char","","","","OC","OC","True","True"
"C112","5","COD_AUT","Código completo da autenticação bancária","C","","","char","","","","OC","OC","True","True"
"C112","6","VL_DA","Valor do total do documento de arrecadação (principal, atualização monetária, juros e multa)","N","","","float","","","02","O","O","",""
"C112","7","DT_VCTO","Data de vencimento do documento de arrecadação","N","008*","","date","","","","O","O","",""
"C112","8","DT_PGTO","Data de pagamento do documento de arrecadação, ou data do vencimento, no caso de ICMS antecipado a recolher.","N","008*","","date","","","","O","O","",""
"C113","2","IND_OPER","Indicador do tipo de operação: 0- Entrada/aquisição; 1- Saída/prestação","C","001*","","char","","","","O","O","",""
"C113","3","IND_EMIT","Indicador do emitente do título: 0- Emissão própria; 1- Terceiros","C","001*","","char","","","","O","O","",""
"C113","4","COD_PART","Código do participante emitente (campo 02 do Registro 0150) do documento referenciado.","C","060","","char","","","","O","O","",""
"C113","5","COD_MOD","Código do documento fiscal, conforme a Tabela 4.1.1","C","002*","","char","","","","O","O","",""
"C113","6","SER","Série do documento fiscal","C","004","","char","","","","OC","OC","True","True"
"C113","7","SUB","Subsérie do documento fiscal","N","003","","int","","","","OC","OC","True","True"
"C113","8","NUM_DOC","Número do documento fiscal","N","009","","int","","","","O","O","",""
"C113","9","DT_DOC","Data da emissão do documento fiscal.","N","008*","","date","","","","O","O","",""
"C114","2","COD_MOD","Código do modelo do documento fiscal, conforme a tabela indicada no item 4.1.1","C","002*","","char","","","","O","O","",""
"C114","3","ECF_FAB","Número de série de fabricação do ECF","C","021","","char","","","","O","O","",""
"C114","4","ECF_CX","Número do caixa atribuído ao ECF","N","003","","int","","","","O","O","",""
"C114","5","NUM_DOC","Número do documento fiscal","N","009","","int","","","","O","O","",""
"C114","6","DT_DOC","Data da emissão do documento fiscal","N","008*","","date","","","","O","O","",""
"C115","2","IND_CARGA","Indicador do tipo de transporte: 0 – Rodoviário; 1 – Ferroviário; 2 – Rodo-Ferroviário; 3 – Aquaviário; 4 – Dutoviário; 5 – Aéreo; 9 – Outros.","N","001*","","int","","","","","O","",""
"C115","3","CNPJ_COL","Número do CNPJ do contribuinte do local de coleta","N","014*","","int","","","","","OC","True",""
"C115","4","IE_COL","Inscrição Estadual do contribuinte do local de coleta","C","014","","char","","","","","OC","True",""
"C115","5","CPF_COL","CPF do contribuinte do local de coleta das mercadorias","N","011*","","int","","","","","OC","True",""
"C115","6","COD_MUN_COL","Código do Município do local de coleta","N","007*","","int","","","","","OC","True",""
"C115","7","CNPJ_ENTG","Número do CNPJ do contribuinte do local de entrega","N","014*","","int","","","","","OC","True",""
"C115","8","IE_ENTG","Inscrição Estadual do contribuinte do local de entrega","C","014","","char","","","","","OC","True",""
"C115","9","CPF_ENTG","CPF do contribuinte do local de entrega","N","011*","","int","","","","","OC","True",""
"C115","10","COD_MUN_ENTG","Código do Município do local de entrega","N","007*","","int","","","","","OC","True",""
"C116","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002","","char","","","","O","O","",""
"C116","3","NR_SAT","Número de Série do equipamento SAT","N","009","","int","","","","O","O","",""
"C116","4","CHV_CFE","Chave do Cupom Fiscal Eletrônico","N","044","","int","","","","O","O","",""
"C116","5","NUM_CFE","Número do cupom fiscal eletrônico","N","006","","int","","","","O","O","",""
"C116","6","DT_DOC","Data da emissão do documento fiscal","N","008","","date","","","","O","O","",""
"C120","2","COD_DOC_IMP","Documento de importação: 0 – Declaração de Importação; 1 – Declaração Simplificada de Importação.","C","001*","","char","","","","O","","",""
"C120","3","NUM_DOC_IMP","Número do documento de Importação.","C","012","","char","","","","O","","",""
"C120","4","PIS_IMP","Valor pago de PIS na importação","N","","","float","","","02","OC","","","True"
"C120","5","COFINSIMP","Valor pago de COFINS na importação","N","","","float","","","02","OC","","","True"
"C120","6","NUM_ACDRAW","Número do Ato Concessório do regime Drawback","C","020","","char","","","","OC","","","True"
"C130","2","VL_SERV_NT","Valor dos serviços sob não-incidência ou não-tributados pelo ICMS","N","","","float","","","02","","O","",""
"C130","3","VL_BC_ISSQN","Valor da base de cálculo do ISSQN","N","","","float","","","02","","O","",""
"C130","4","VL_ISSQN","Valor do ISSQN","N","","","float","","","02","","OC","True",""
"C130","5","VL_BC_IRRF","Valor da base de cálculo do Imposto de Renda Retido na Fonte","N","","","float","","","02","","OC","True",""
"C130","6","VL_IRRF","Valor do Imposto de Renda - Retido na","N","","","float","","","02","","OC","True",""
"C130","7","VL_BC_PREV","Valor da base de cálculo de retenção da Previdência Social","N","","","float","","","02","","OC","True",""
"C130","8","VL_PREV","Valor destacado para retenção da Previdência Social","N","","","float","","","02","","OC","True",""
"C140","2","IND_EMIT","Indicador do emitente do título: 0 - Emissão própria; 1 - Terceiros","C","001*","","char","","","","O","O","",""
"C140","3","IND_TIT","Indicador do tipo de título de crédito: 00 - Duplicata; 01 - Cheque; 02 - Promissória; 03 - Recibo; 99 - Outros (descrever)","C","002*","","char","","","","O","O","",""
"C140","4","DESC_TIT","Descrição complementar do título de crédito","C","","","char","","","","OC","OC","True","True"
"C140","5","NUM_TIT","Número ou código identificador do título de crédito","C","","","char","","","","O","O","",""
"C140","6","QTD_PARC","Quantidade de parcelas a receber/pagar","N","002","","int","","","","O","O","",""
"C140","7","VL_TIT","Valor total dos títulos de créditos","N","","","float","","","02","O","O","",""
"C141","2","NUM_PARC","Número da parcela a receber/pagar","N","002","","int","","","","O","O","",""
"C141","3","DT_VCTO","Data de vencimento da parcela","N","008*","","date","","","","O","O","",""
"C141","4","VL_PARC","Valor da parcela a receber/pagar","N","","","float","","","02","O","O","",""
"C160","2","COD_PART","Código do participante (campo 02 do Registro 0150): - transportador, se houver","C","060","","char","","","","","OC","True",""
"C160","3","VEIC_ID","Placa de identificação do veículo automotor","C","007","","char","","","","","OC","True",""
"C160","4","QTD_VOL","Quantidade de volumes transportados","N","","","int","","","","","O","",""
"C160","5","PESO_BRT","Peso bruto dos volumes transportados (em kg)","N","","","float","","","02","","O","",""
"C160","6","PESO_LIQ","Peso líquido dos volumes transportados (em kg)","N","","","float","","","02","","O","",""
"C160","7","UF_ID","Sigla da UF da placa do veículo","C","002","","char","","","","","OC","True",""
"C165","2","COD_PART","Código do participante (campo 02 do Registro 0150): - transportador, se houver","C","060","","char","","","","","OC","True",""
"C165","3","VEIC_ID","Placa de identificação do veículo","C","007","","char","","","","","O","",""
"C165","4","COD_AUT","Código da autorização fornecido pela SEFAZ (combustíveis)","C","","","char","","","","","OC","True",""
"C165","5","NR_PASSE","Número do Passe Fiscal","C","","","char","","","","","OC","True",""
"C165","6","HORA","Hora da saída das mercadorias","N","006*","","int","","","","","O","",""
"C165","7","TEMPER","Temperatura em graus Celsius utilizada para quantificação do volume de combustível","N","","","float","","","01","","OC","True",""
"C165","8","QTD_VOL","Quantidade de volumes transportados","N","","","int","","","","","O","",""
"C165","9","PESO_BRT","Peso bruto dos volumes transportados (em kg)","N","","","float","","","02","","O","",""
"C165","10","PESO_LIQ","Peso líquido dos volumes transportados (em kg)","N","","","float","","","02","","O","",""
"C165","11","NOM_MOT","Nome do motorista","C","060","","char","","","","","OC","True",""
"C165","12","CPF","CPF do motorista","N","011*","","int","","","","","OC","True",""
"C165","13","UF_ID","Sigla da UF da placa do veículo","C","002","","char","","","","","OC","True",""
